2026-05-19 11:53:12 | WARNING  | main | ⚠️ Tentative 1/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-3.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-3.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:53:14 | WARNING  | main | ⚠️ Tentative 2/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-3.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-3.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:53:16 | WARNING  | main | ⚠️ Tentative 3/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-3.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-3.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:53:18 | ERROR    | main | 🛑 Connexion perdue avec le site. Arrêt du scan.
2026-05-19 11:53:18 | ERROR    | main | ❌ Aucun lien trouvé. Abandon.
2026-05-19 11:53:18 | WARNING  | __main__ | 🚫 Pipeline arrêté : le scraping n'a généré aucun résultat.
2026-05-19 11:54:59 | WARNING  | main | ⚠️ Tentative 1/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-1.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-1.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:55:01 | WARNING  | main | ⚠️ Tentative 2/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-1.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-1.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:55:03 | WARNING  | main | ⚠️ Tentative 3/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-1.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-1.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:55:05 | WARNING  | main | ⚠️ Tentative 1/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-2.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-2.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
